REF_DATE,GEO,DGUID,Airlines,Services,Operational statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-05,Canada,2016A000011124,Air Canada,Total scheduled services,Goods tonne-kilometres,Number,223,thousands,3,v54055434,1.1.2.6,131128,,,,0
2010-05,Canada,2016A000011124,Air Canada,Domestic scheduled services,Available seat-kilometres,Number,223,thousands,3,v54055435,1.1.3.3,2218283,,,,0
2010-05,Canada,2016A000011124,Air Canada,International scheduled services,Available seat-kilometres,Number,223,thousands,3,v54055436,1.1.4.3,5334311,,,,0
2010-05,Canada,2016A000011124,Air Canada,Total charter services,Passengers,Number,223,thousands,3,v54055437,1.1.5.1,2,,,,0
2010-05,Canada,2016A000011124,Air Canada,Total charter services,Passenger-kilometres,Number,223,thousands,3,v54055438,1.1.5.2,5679,,,,0
2010-05,Canada,2016A000011124,Air Canada,Total charter services,Available seat-kilometres,Number,223,thousands,3,v54055439,1.1.5.3,6542,,,,0
2010-05,Canada,2016A000011124,Air Canada,Total charter services,Goods carried,Kilograms,192,thousands,3,v54055440,1.1.5.5,0,,,,0
2010-05,Canada,2016A000011124,Air Canada,Total charter services,Goods tonne-kilometres,Number,223,thousands,3,v54055441,1.1.5.6,0,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Passengers,Number,223,thousands,3,v54055442,1.2.1.1,1249,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Passenger-kilometres,Number,223,thousands,3,v54055443,1.2.1.2,2036418,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Available seat-kilometres,Number,223,thousands,3,v54055444,1.2.1.3,2619821,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Goods carried,Kilograms,192,thousands,3,v54055445,1.2.1.5,406,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Goods tonne-kilometres,Number,223,thousands,3,v54055446,1.2.1.6,663,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Hours flown,Number,223,thousands,3,v54055447,1.2.1.7,30,,,,0
2010-05,Canada,2016A000011124,WestJet,Total services,Turbo fuel consumed,Litres,203,thousands,3,v54055448,1.2.1.8,78541,,,,0
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Passengers,Number,223,thousands,3,v54055449,1.2.2.1,1242,,,,0
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Passenger-kilometres,Number,223,thousands,3,v54055450,1.2.2.2,2015098,,,,0
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Available seat-kilometres,Number,223,thousands,3,v54055451,1.2.2.3,2598501,,,,0
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Load factors-scheduled services,Percent,239,units ,0,v54055452,1.2.2.4,77.5,,,,1
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Goods carried,Kilograms,192,thousands,3,v54055453,1.2.2.5,406,,,,0
2010-05,Canada,2016A000011124,WestJet,Total scheduled services,Goods tonne-kilometres,Number,223,thousands,3,v54055454,1.2.2.6,663,,,,0
